,CO2_M,Temp_M,VPD_M,Prcp_M,WaterS_M,WaterG_M,RuralE_M,AgriM_M,Fert_M,CropG_M,FruitG_M,IncomeR_M,CO2_S,Temp_S,VPD_S,Prcp_S,WaterS_S,WaterG_S,RuralE_S,AgriM_S,Fert_S,CropG_S,FruitG_S,IncomeR_S,CO2_S_per,Temp_S_per,VPD_S_per,Prcp_S_per,WaterS_S_per,WaterG_S_per,RuralE_S_per,AgriM_S_per,Fert_S_per,CropG_S_per,FruitG_S_per,IncomeR_S_per
630121,371.52585365853656,271.69551485,30.88114624925,3.627035313950001,1918734.509186111,-0.8607777938666666,2262.1884615384615,26.22763076923077,8822.972222222223,92473.35897435897,538.5333333333333,3540.775,1.8178449477351915,0.03872490365853681,0.028734489231707305,-0.004373230286303937,132479.98636915063,-0.17256695521071427,116.63972672064776,1.3103021659919032,40.896653796653794,-631.4692307692308,39.19285714285714,466.65030075187974,1.8481067949876058,0.43441739399077883,1.2844975550119664,3.4448405524882313,1.7659080031858834,0.7000041719925769,1.9188094507445703,1.918207166690096,1.60680311794941,2.094173426250544,0.6973012353802985,0.953294757752882
632525,371.52585365853656,275.11612580250005,44.310711629250015,4.986431876600001,149722222.2222222,-0.4733706261333334,597.3033333333335,7.526502564102562,2818.285714285714,20632.25641025641,24.0,2725.542,1.8178449477351915,0.025326319108818315,-0.021665933083489713,0.01084962142664165,975546.9755469756,0.03884190275000002,11.479127530364371,0.11119352226720648,292.88791208791207,1077.444129554656,0.6813186813186813,323.8157894736843,1.8481067949876058,0.30410886757051026,-46.60666853070531,1.6108413683170881,1.650184347299642,0.7060676317974913,1.887698002734232,1.8731315033046463,0.6486629746927877,1.919047255269013,0.6404805988413993,0.9528982628725844
632127,371.52585365853656,276.89298029,44.685499337,2.1596689086749996,29091666.666666668,-1.1282821063333333,1362.3176923076924,13.00127692307692,2789.1666666666665,59940.05641025642,2584.84,1533.2100000000003,1.8178449477351915,0.039490726285178426,-0.0011123965741087988,0.00034627408058161304,472213.6422136422,-0.18571958244999998,9.087487854251016,0.5959955870445344,71.26589446589446,470.941012145749,-181.7784615384615,148.96359943977592,1.8481067949876058,0.43463264185265116,-0.10207025830982482,0.4757039006438635,1.7248967141891824,0.6996238850265516,1.8001703274915357,1.916467839661876,1.7485683875788904,1.8196817876161804,1.2221326552373082,1.723008613826786
640423,371.52585365853656,278.9553626175,31.020691297750005,0.952047924875,836158.222082222,-2.3357236769333336,458.9125,10.209676923076923,6358.638888888889,64813.81904435898,225.0,1488.951692757576,1.8178449477351915,0.036373097138836366,0.21022194672326458,-0.0015127675758911815,-4713.962773364221,-0.5479010129285714,77.44880952380953,0.6870527530364374,253.40270270270273,1559.7720974736844,,144.49068092881018,1.8481067949876058,0.4049517438584279,1.849163609330491,2.927580303719572,1.9551751479144424,0.7002580312437285,0.3520373518480109,1.923213079682041,1.7609238743334352,1.8975773719905584,,1.6191834143127906
640121,371.52585365853656,283.16580912250004,90.69042146049999,0.3413154228999999,7786132.012583332,-2.3655035595333334,4296.749743589743,25.473551282051282,32982.333333333336,199670.97435897434,18041.09375,2964.1015625,1.8178449477351915,0.033182800272044906,0.37027469415384623,-0.0007510731722326454,244454.67600373234,-0.7021309795999999,217.1770000002024,1.1957079959514172,1827.7251012145746,4417.7428475101215,2176.1875,247.29598423753663,1.8481067949876058,0.3716051177585854,1.7675632491134683,2.5878148053148946,1.75056803738938,0.7005713037805736,1.9184317624720166,1.9169611211900786,1.9201174879069738,1.8941305539402662,1.5713784231529961,1.5660630712564965
640181,371.52585365853656,283.24821762999994,85.13090364675,1.1805068804749996,10579988.718972221,-2.5286817538666666,4322.164102564103,27.424523076923077,12060.051282051281,144172.12820512822,16139.0625,2998.8084848484846,1.8178449477351915,0.0308598876923077,0.3460824378921201,-0.002260098591463416,649933.4064032175,-0.7360285151142857,222.7025978412956,1.2510216396761136,377.7872469635629,2465.0198380566803,1807.6425953079179,267.97966577540103,1.8481067949876058,0.35008901460691083,1.76671684907511,2.7098866083374458,1.7643098109708026,0.7005479771046852,1.9187967392806344,1.9163641191372978,1.906747153511879,1.8816657935660057,1.570870397519754,1.6184581650070398
640302,371.52585365853656,283.0904471175,80.18118850325001,1.8369174055749997,7145247.853361111,-2.5866772019999997,1613.8200000000002,11.081900000000006,15839.333333333334,181697.63560256409,4496.0,3017.1928571428566,1.8178449477351915,0.03106608621951222,0.30351219562195114,-0.004636010542120076,354772.2992706563,-0.7349574974821429,317.9100000000001,0.0,813.4936936936937,5609.175984919029,,304.29696638655463,1.8481067949876058,0.3521755148497141,1.752275183160465,2.4915798139245084,1.7608819183367939,0.7005185615866202,0.20079551746792845,0.0,1.7659190973610799,1.9062975221881495,,1.7233380551923914
640522,371.52585365853656,280.40680680750006,56.43371366199999,3.6093994787750012,5271460.714466667,-2.3984463797999998,806.475,24.455915384615384,3859.6944444444443,116792.41090256411,,1329.7592723030302,1.8178449477351915,0.02990556002814233,0.22420193619699813,-0.0031792516057223296,-64245.984465482616,-0.6147865866285714,115.96190476190475,1.4424775506072878,166.17619047619044,5652.249190465588,,129.48135024197862,1.8481067949876058,0.3439787254327929,1.762146937584628,4.720397930823866,1.856321962792056,0.7003847680669155,0.35185521739055897,1.9211770338948435,1.7625790694345693,1.9175813469749048,,1.6192120396047749
640422,371.52585365853656,279.35805865,38.87634873625001,2.689001102725001,5317820.806136112,-2.2230588856666667,1032.5375,24.01634358974359,12026.694444444445,152848.93965384614,350.0,1445.677253090909,1.8178449477351915,0.03300692874296466,0.201705439141651,-0.00261133074662289,-64105.74819496783,-0.5283549378714286,236.99642857142857,1.5738253441295549,789.6482625482624,7143.856870344131,,144.7968001153075,1.8481067949876058,0.3740964606766252,1.8103847341216015,4.185643335736951,1.8572111186226328,0.700277481317365,0.3523152814512974,1.9228240628369673,1.769705274457827,1.9168724483971409,,1.6194461641393714
640104,371.52585365853656,282.8989144574999,90.6248389135,0.72794137695,20966360.273583334,-2.398981905466667,7332.784615384615,31.03011025641027,69404.30769230769,200985.79487179487,37115.1,16084.583333333334,1.8178449477351915,0.033084336350844054,0.37833741756848027,-0.0017133099121951216,844263.3102948521,-0.7125004031464286,72.62210526315789,0.5571776518218624,275.3947368421052,323.61214574898787,1728.8666666666668,1866.541958041958,1.8481067949876058,0.37099251582633086,1.771894133501822,2.538028643198691,1.7567336378285396,0.7005720204724893,1.8428962034534357,1.8842742319905608,1.7171124534561275,1.4716874454300934,0.4457723223168548,0.5483228676607339
640521,371.52585365853656,283.10710141749996,81.89065033175002,1.4099730381999998,20125000.0,-2.3524436269333333,1807.5,24.316864102564104,19781.277777777777,170286.53301794874,,2612.153813181818,1.8178449477351915,0.03087469100375227,0.2713317046575985,-0.0029881631529080684,248867.43886743888,-0.646713440325,196.64999999999998,1.1808263562753034,1132.4319176319177,6546.50122060729,,221.93424992613635,1.8481067949876058,0.3503711787204265,1.7231399228096425,2.618069500992739,1.7086787281559845,0.7004771873637023,0.20038158094341532,1.917648995690813,1.7677053705205645,1.912419405973216,,1.6179839363187893
640324,371.52585365853656,281.773644615,68.96628493575001,2.482571208875,1051402.149041389,-2.5694287676666665,813.86,16.037353846153845,5053.805555555556,143807.23165897434,430.0,1746.7601345454548,1.8178449477351915,0.030673480581613552,0.27657811073452154,-0.005018064919606006,92919.95921156887,-0.6997619059821427,39.64,0.5433349797570851,308.09227799227796,8457.914393542509,,160.0205286483957,1.8481067949876058,0.34984701218723685,1.7640229876875915,2.6588977796785356,1.7687352057420391,0.7004651573887656,0.19924969721736244,1.909052236291204,1.7686561878114766,1.9211298518120001,,1.61868295988704
640202,371.52585365853656,282.2413426099999,90.02959332324997,0.3783416782000001,13498920.024583332,-2.2072551804666665,613.0,5.579053846153847,3596.6153846153848,14496.538461538461,1370.0,2933.0853333333334,1.8178449477351915,0.025984802270168916,0.34872870664258937,-0.00026728195553470916,796621.2840155727,-0.6579066353107142,-470.0,0.0032520242914979803,-25.086639676113357,-30.714574898785436,1536.0,244.7088765294772,1.8481067949876058,0.3041342305881612,1.7570217867747349,7.143056362064523,1.763717119083734,0.7005762354439813,0.0499451665830705,1.033573908000901,2.0906319333481482,2.5520070120948657,0.049890442407395735,1.4628098113529793
640381,371.52585365853656,283.66513588500004,88.68273753124998,0.6980367410999999,33641666.666666664,-2.3861774176000004,3053.9800000000005,35.90891794871795,18713.86111111111,216663.6453923077,4219.0,2931.855448424242,1.8178449477351915,0.029867871988743078,0.3255475722410882,-0.000896446246341463,273706.5637065637,-0.6860511376499998,503.2700000000001,1.5326378137651822,557.4637065637066,4575.666095323886,,254.41030053074866,1.8481067949876058,0.3403487851277808,1.7458170946111333,3.297180039757168,1.6743115448307395,0.700533058911035,0.2006955834479834,1.9149080502102491,1.7534458285445218,1.8920992748061898,,1.6181850647074487
640402,371.52585365853656,279.92083021749994,45.69657238099999,2.193039991774999,3621385.489470278,-2.5584459664000003,1564.1,18.409382051282048,7342.472222222223,131686.56464102564,1569.0,1422.1283458571427,1.8178449477351915,0.03517338237335833,0.24653574967354597,-0.0030037090419324573,1203.3881621196874,-0.6563549429785713,248.94761904761904,0.7226835627530367,167.51544401544405,2939.702644331984,,139.70573007927172,1.8481067949876058,0.3931525229301766,1.8166110208486075,3.1671542655720897,0.703259677740877,0.7003859263047667,0.35197407337620973,1.9129375393992067,1.7444773217900273,1.8945098249230312,,1.7231073380041746
640122,371.52585365853656,282.231744755,87.56895662624997,0.500813147775,11863574.148194445,-2.420537442533333,2734.189487179487,27.810192307692304,39643.230769230766,182421.87179487178,4367.78125,2809.612857142857,1.8178449477351915,0.03357215033771114,0.37075212645121963,-0.0010855520931519695,432284.6820498069,-0.719176912625,132.31833940607288,0.9206653441295547,2085.7115384615386,4108.91646423077,359.720857771261,239.06895798319326,1.8481067949876058,0.37614934255973326,1.7745883890280851,2.599729952046796,1.7544353071538488,0.7005724709887705,1.9175806451287853,1.9083905975964424,1.919185082350351,1.8948870375822027,1.5683162552528105,1.7217349134121176
